WORD	PF	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
learned	12	3	attraction	103.978931642205	36.4896502345791	6.34160314972334	6.81952804057382	0.012260593555397	0.793003393173052	0.0663051736788776	4.99328776126205
occurred	8	2	attraction	69.2866570839607	29.7936746557824	6.33747394053174	6.81952804057382	0.00817372903693136	0.792974646376034	0.0441795264266141	4.99328776126205
lived	4	1	attraction	34.6270584527585	21.0673093855695	6.33336177168469	6.81952804057382	0.00408686451846568	0.792945901663114	0.0220778352715254	4.99328776126205
marched	4	1	attraction	34.6270584527585	21.0673093855695	6.33336177168469	6.81952804057382	0.00408686451846568	0.792945901663114	0.0220778352715254	4.99328776126205
fallen	7	2	attraction	59.8445589043248	27.4726159673388	6.20291108834595	6.77888605607647	0.00715018758350249	0.770745225033632	0.0383632665580491	4.79254020749504
witnessed	7	2	attraction	59.8445589043248	27.4726159673388	6.20291108834595	6.77888605607647	0.00715018758350249	0.770745225033632	0.0383632665580491	4.79254020749504
elapsed	3	1	attraction	25.225128665328	17.6549560064318	6.04465247777638	6.72641863618234	0.00306332306503681	0.742938703012288	0.0162728466338709	4.54737766186234
resulted	3	1	attraction	25.225128665328	17.6549560064318	6.04465247777638	6.72641863618234	0.00306332306503681	0.742938703012288	0.0162728466338709	4.54737766186234
bestowed	6	3	attraction	48.0227570934678	23.5118881365744	5.6422576022157	6.55649363474003	0.00611934483482385	0.659626863868146	0.0315259259001199	3.84609316922041
caused	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
ceased	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
disappeared	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
dreamed	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
inherited	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
ordained	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
preceded	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
retained	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
survived	2	1	attraction	15.9994908355184	13.5745949448076	5.63816120231091	6.55649363474003	0.00203978161160795	0.659598171132506	0.0105027075118031	3.84609316922041
exhibited	3	2	attraction	23.0078658956112	15.7534353835909	5.35149799584124	6.40449054129498	0.00305602176978704	0.592938651818986	0.0152947535431979	3.31802498238298
spoken	4	3	attraction	30.0986858128194	17.7415074730729	5.23473488021282	6.33410121340358	0.00407226192796612	0.564374370807976	0.0201112504857111	3.09999882947314
suffered	5	4	attraction	37.2175197148826	19.5511603058101	5.17121733531896	6.29345922890623	0.00508850208614521	0.548508502702659	0.0249373679476045	2.98095723270792
contributed	7	6	attraction	51.4909029139528	22.7652314908315	5.10426959367065	6.24837133937769	0.00712098240250338	0.531428781765919	0.0346037792371255	2.85440496188756
seen	16	14	attraction	117.404567408611	34.2491184316071	5.09291355436878	6.23456553985266	0.0162744451213649	0.526364970137313	0.0789780393564533	2.81677051841875
asked	5	5	attraction	35.7340285351696	18.5212456322724	4.94806648246962	6.14145613546118	0.00508120079089543	0.492952896055217	0.0241698667376079	2.57585543718176
enabled	4	4	attraction	28.583202839442	16.5659057046929	4.94704550627921	6.14145613546118	0.00406496063271635	0.492945748236437	0.0193329462742219	2.57585543718176
served	4	4	attraction	28.583202839442	16.5659057046929	4.94704550627921	6.14145613546118	0.00406496063271635	0.492945748236437	0.0193329462742219	2.57585543718176
conducted	3	3	attraction	21.4343892455147	14.3464951769616	4.94602558630453	6.14145613546118	0.00304872047453726	0.492938600624941	0.0144975009243952	2.57585543718176
filled	3	3	attraction	21.4343892455147	14.3464951769616	4.94602558630453	6.14145613546118	0.00304872047453726	0.492938600624941	0.0144975009243952	2.57585543718176
awakened	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
discovered	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
earned	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
encountered	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
endured	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
multiplied	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
registered	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
traveled	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
worked	2	2	attraction	14.2875856437471	11.7138642602852	4.94500672037768	6.14145613546118	0.00203248031635817	0.49293145322072	0.00966352913090391	2.57585543718176
approached	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
beaten	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
confronted	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
covered	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
decreased	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
departed	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
despaired	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
differed	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
dissipated	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
enslaved	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
equaled	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
flattered	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
flourished	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
gotten	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
initiated	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
piled	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
poured	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
reformed	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
shunned	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
started	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
